weibo_id,file,meta_total_retweets,meta_crawled_retweets,coverage,log_meta_crawled_retweets,root_log_followers,root_verified,root_verified_type,pub_hour,pub_weekday,pub_is_weekend,pub_is_night,n_obs,time_to_5h,time_to_10h,time_to_20h,interval_mean,interval_std,interval_min,interval_max,interval_burstiness,interval_q10,interval_q50,interval_q90,bin_inc_1,bin_cum_1,bin_inc_2,bin_cum_2,bin_inc_3,bin_cum_3,bin_inc_4,bin_cum_4,bin_inc_5,bin_cum_5,bin_inc_6,bin_cum_6,bin_inc_7,bin_cum_7,bin_inc_8,bin_cum_8,bin_inc_9,bin_cum_9,bin_inc_10,bin_cum_10,bin_inc_11,bin_cum_11,bin_inc_12,bin_cum_12,max_depth,mean_depth,depth_entropy,max_out_degree,top5_mean_out_degree,gini_out_degree,hhi_out_degree,max_log_followers,mean_log_followers,top5_mean_log_followers,time_of_max_follower_h,verified_ratio,verified_early10
5119077121263400,retweet_tree_5119077121263400.json,229.0,192.0,0.8384279475982532,5.262690188904886,15.44639073314953,1,7,12,5,1,0,62,0.10138888888888889,0.20277777777777778,0.42388888888888887,113.9672131147541,190.26090517963553,1.0,1406.0,0.2507779113009371,11.0,67.0,274.0,9,9,5,14,9,23,11,34,6,40,7,47,4,51,2,53,5,58,0,58,0,58,4,62,1,1.0,-1.000088900581841e-12,62.0,62.0,0.0,0.9999999999999676,0.0,0.0,0.0,0.03638888888888889,0.0,0.0
5201289862712867,retweet_tree_5201289862712867.json,254.0,217.0,0.8543307086614174,5.384495062789089,15.592789184049355,1,0,9,1,0,0,69,0.1688888888888889,0.29888888888888887,0.7261111111111112,102.01470588235294,91.21153381773647,0.0,360.0,-0.05590944626042669,11.4,77.0,227.00000000000006,4,4,6,10,4,14,4,18,5,23,6,29,7,36,11,47,8,55,5,60,7,67,2,69,1,1.0,-1.000088900581841e-12,69.0,69.0,0.0,0.9999999999999711,0.0,0.0,0.0,0.03777777777777778,0.0,0.0
5212892039221259,retweet_tree_5212892039221259.json,172.0,132.0,0.7674418604651163,4.890349128221754,13.415294151291777,1,0,10,5,1,0,46,0.1388888888888889,0.2477777777777778,0.37666666666666665,156.95555555555555,210.88658937980603,3.0,996.0,0.1466146132703946,8.4,85.0,285.80000000000007,5,5,11,16,10,26,6,32,3,35,2,37,1,38,2,40,0,40,2,42,2,44,2,46,1,1.0,-1.000088900581841e-12,46.0,46.0,0.0,0.9999999999999565,0.0,0.0,0.0,0.03111111111111111,0.0,0.0
5216167893143003,retweet_tree_5216167893143003.json,478.0,439.0,0.9184100418410042,6.0867747269123065,16.450728096436688,1,2,11,0,0,0,70,0.06111111111111111,0.11305555555555556,0.20805555555555555,98.3623188405797,123.05129966093885,0.0,585.0,0.11150615299749424,8.8,52.0,261.4,14,14,12,26,12,38,2,40,7,47,3,50,2,52,5,57,3,60,3,63,5,68,2,70,1,1.0,-1.000088900581841e-12,70.0,70.0,0.0,0.9999999999999716,0.0,0.0,0.0,0.017222222222222222,0.0,0.0
5224632426955193,retweet_tree_5224632426955193.json,467.0,307.0,0.6573875802997858,5.730099782973574,14.630156971668352,1,0,19,2,0,0,63,1.3,1.3366666666666667,1.4358333333333333,43.32258064516129,39.72761053098413,1.0,190.0,-0.04328671690294369,6.1000000000000005,30.5,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,13,22,11,33,16,49,14,63,1,1.0,-1.000088900581841e-12,63.0,63.0,0.0,0.9999999999999682,0.0,0.0,0.0,1.243611111111111,0.0,0.0
5224940699386851,retweet_tree_5224940699386851.json,448.0,424.0,0.9464285714285714,6.052089168924417,16.450728239843414,1,2,16,3,0,0,107,0.05333333333333334,0.07861111111111112,0.1338888888888889,65.69811320754717,79.22313482045277,0.0,565.0,0.09332669844447147,5.5,40.0,155.0,24,24,7,31,10,41,8,49,4,53,13,66,10,76,8,84,7,91,5,96,8,104,3,107,1,1.0,-1.000088900581841e-12,107.0,107.0,0.0,0.9999999999999813,0.0,0.0,0.0,0.005555555555555556,0.0,0.0
5229258725393618,retweet_tree_5229258725393618.json,158.0,125.0,0.7911392405063291,4.836281906951478,17.030971839910215,1,0,13,1,0,0,35,0.16722222222222222,0.3527777777777778,0.7427777777777778,200.47058823529412,249.13393932417836,2.0,899.0,0.10823590089947924,14.700000000000003,77.0,573.8,4,4,5,9,8,17,2,19,5,24,2,26,1,27,2,29,4,33,0,33,1,34,1,35,1,1.0,-1.000088900581841e-12,35.0,35.0,0.0,0.9999999999999427,0.0,0.0,0.0,0.03361111111111111,0.0,0.0
5230632260600082,retweet_tree_5230632260600082.json,204.0,161.0,0.7892156862745098,5.087596335232384,16.84418144972229,1,3,8,5,1,0,4,2.0,2.0,2.0,933.3333333333334,1042.420687097531,56.0,2398.0,0.05521302380567009,114.0,346.0,1987.6000000000001,3,3,0,3,0,3,0,3,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,1.0,-1.000088900581841e-12,4.0,4.0,0.0,0.9999999999995,0.0,0.0,0.0,0.042222222222222223,0.0,0.0
5233758462543531,retweet_tree_5233758462543531.json,314.0,280.0,0.89171974522293,5.638354669333745,14.164197180050776,1,0,23,6,1,1,117,0.02,0.024166666666666666,0.058333333333333334,48.5948275862069,103.08073321165809,0.0,845.0,0.35922666340468307,1.5,14.0,129.0,51,51,30,81,5,86,10,96,5,101,3,104,7,111,0,111,3,114,3,117,0,117,0,117,1,1.0,-1.000088900581841e-12,117.0,117.0,0.0,0.9999999999999829,0.0,0.0,0.0,0.014166666666666666,0.0,0.0
5234275353887461,retweet_tree_5234275353887461.json,258.0,228.0,0.8837209302325582,5.43372200355424,16.450728598360147,1,2,10,1,0,0,56,0.01972222222222222,0.06416666666666666,0.18638888888888888,82.56363636363636,130.97991013702878,0.0,713.0,0.22672787151280926,5.4,41.0,167.0,19,19,12,31,6,37,0,37,8,45,2,47,4,51,5,56,0,56,0,56,0,56,0,56,1,1.0,-1.000088900581841e-12,56.0,56.0,0.0,0.9999999999999643,0.0,0.0,0.0,0.013055555555555556,0.0,0.0
